Date_CST,Time_CST,Date,Time,Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Med Cloud Ht (ft),High Cloud Ht (ft),Visibility (mi),Atm Press (hPa),Sea Lev Press (hPa),Altimeter (hPa),Precip (in),Wind Chill (F),Heat Index (F),Date_UTC_x,Time_UTC_x,Mean,Centroid_lon,Centroid_lat,Std_lon,Std_lat,Skewness_lon,Skewness_lat,Kurtosis_lon,Kurtosis_lat,Sample Number,Selected,Date_UTC_y,Time_UTC_y,Lake_Visible,LES_Exist
20131001,00:00,2013-10-01,00:55,58,77,51,8,160,m,M,m,m,10,989.90,1012.60,1012.90,0.00,NC,NC,20131001,'0600,0.0019793080384714,-86.7117057222303,43.97642506783138,0.6656677461450037,1.2264319992118962,0.5826462467437422,0.0070138386050804,2.816019767919206,1.7118818780022125,3.0,s00,20131001,06:00,N,N
20131001,01:00,2013-10-01,01:55,58,80,52,6,160,m,M,m,m,10,990.20,1013.10,1013.20,0.00,NC,NC,20131001,'0700,0.0021745041660926,-86.72815026159284,43.94443176400444,0.6702324646910265,1.2390652483833262,0.6603569874951487,0.0301746093525569,2.8639129998267205,1.6898986704043713,4.0,s00,20131001,07:00,N,N
20131001,02:00,2013-10-01,02:55,57,86,53,5,160,m,M,m,m,10,990.20,1013.20,1013.20,0.00,NC,NC,20131001,'0800,0.0073459059634726,-86.72771406479514,43.92669895342565,0.6495933258556691,1.2353266743711444,0.6304090896451569,0.0237201936100915,2.893503975757142,1.7128616610484926,4.0,s00,20131001,08:00,N,N
20131001,03:00,2013-10-01,03:55,63,86,59,9,190,m,M,m,m,10,990.20,1013.00,1013.20,0.00,NC,NC,20131001,'0900,0.0019710255696452,-86.73276940895144,43.93126303580591,0.6566063962845237,1.235075878716103,0.6142995240883237,0.0241253288099785,2.869600801528537,1.7163283384944936,3.0,s00,20131001,09:00,N,N
20131001,04:00,2013-10-01,04:55,64,86,60,9,190,m,4000,m,m,10,990.20,1013.10,1013.20,0.00,NC,NC,20131001,'1000,0.0080812009414723,-86.77476604102854,43.77126003033872,0.6250564781578735,1.2253891464282487,0.6840250892157121,0.192530694556258,3.1504382480215387,1.765415307090518,4.0,s00,20131001,10:00,N,N
20131001,05:00,2013-10-01,05:55,63,90,60,9,190,m,25000,m,m,10,990.20,1013.10,1013.20,0.00,NC,NC,20131001,'1100,0.0021935198411421,-86.72727710843374,43.92693012048193,0.6421170240762243,1.212593346523275,0.6289681456409432,0.0150342314242709,3.042720710732522,1.7570280937570733,4.0,s00,20131001,11:00,N,N
20131001,06:00,2013-10-01,06:55,64,89,61,11,200,m,700,20000,m,5,990.20,1013.20,1013.20,0.00,NC,NC,20131001,'1200,0.0886988571944023,-86.68387224115786,43.92175019445266,0.640643847193087,1.2472576408813776,0.5812762021779178,0.021587206072781,2.905755896439856,1.6883863046669816,3.0,s00,20131001,12:00,Y,N
20131001,07:00,2013-10-01,07:55,65,90,62,11,190,m,500,m,m,6,990.60,1013.40,1013.50,0.00,NC,NC,20131001,'1300,0.2225673001283105,-86.88999818253632,43.50989985492952,0.5874638562266608,1.128144000686832,0.8484861057182455,0.5438717942398389,3.692540726947101,2.281163325069235,4.0,s00,20131001,13:00,Y,N
20131001,08:00,2013-10-01,08:55,66,87,62,15,200,22,500,m,m,7,990.60,1013.60,1013.50,0.00,NC,NC,20131001,'1400,0.2483939000864249,-86.94782309289138,43.512984524012985,0.5576853120000043,1.0625766854848824,0.9464053277135448,0.4772772533178638,4.127012136748353,2.3754756383796427,4.0,s00,20131001,14:00,Y,N
20131001,09:00,2013-10-01,09:55,66,83,61,20,200,29,700,m,m,6,991.20,1014.00,1014.20,0.00,NC,NC,20131001,'1500,0.2470318517562357,-86.93256332125632,43.511178263140266,0.5423151693009534,1.1356171365745673,0.8261801373523269,0.3915246767862952,3.9472647780920473,2.084850276989561,3.0,s00,20131001,15:00,Y,N
